"X","id","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","weird1","weird2","missing","missing.num","missing2","sd","duplicate","Z_v17","v17.t","Z_v17.t"
703,703,5,5,5,5,1,5,5,1,1,5,5,4,5,5,0,0.647985297226277,308.545500812632,0,1,FALSE,0,0,186.82301961841,1,20.4549553007868,5.73186932294834,5.18246222240255
473,473,5,5,4,4,1,4,4,1,1,5,5,5,5,5,1,-0.0644180356910821,251.713857942282,0,1,FALSE,0,0,125.417106287183,1,16.6542189252158,5.52829295800462,4.99697192044019
315,315,5,5,5,5,1,5,5,1,2,5,5,5,5,5,0,0.714294398590589,62.0275534454139,0,1,FALSE,0,0,83.0918001534884,1,3.96854592622186,4.12757869673393,3.72069944471388
438,438,5,5,5,5,1,5,5,2,2,5,5,5,4,5,0,0.103125793103401,37.9047925404991,0,0,FALSE,0,0,115.958783886515,1,2.35528524572967,3.63507755634988,3.2719529250877
139,139,5,5,5,5,1,5,5,1,1,5,5,5,5,5,1,-2.19821166974179,35.5188226075352,0,0,FALSE,0,0,36.0990700315515,1,2.19571845763027,3.5700627702642,3.21271416077247
580,580,4,5,5,5,2,4,5,1,1,5,5,5,5,5,0,0.102718412643763,35.3189272456574,0,0,FALSE,0,0,153.949970466361,1,2.18235003231604,3.56441900284125,3.20757179503774
522,522,2,1,3,3,1,5,3,1,2,2,2,2,1,3,0,0.305006755485187,32.150088030427,0,0,FALSE,0,0,138.939072740773,1,1.97042720437426,3.47041518879581,3.12191943623998
46,46,5,5,5,5,1,5,5,1,1,4,5,5,5,5,0,-0.479752692415643,28.0851935298057,0,0,FALSE,0,0,11.3476530952101,1,1.69857878312389,3.33524251682075,2.99875572934972
492,492,5,5,5,5,1,5,5,2,1,5,5,5,5,4,0,-0.948484746214971,17.7049854567165,0,0,FALSE,0,0,130.391717528377,1,1.00438040319341,2.87384626414114,2.57835068745056
339,339,3,2,3,2,5,2,2,4,4,3,4,4,5,4,0,1.75030515813625,15.7135385510495,0,0,FALSE,0,0,89.7238743388493,1,0.871198177375056,2.75452266885532,2.46962799890605
540,540,5,5,4,4,5,2,3,4,3,3,3,3,5,2,1,-2.59233238268204,14.4409936069361,0,0,FALSE,0,0,143.317004351416,1,0.786094041468333,2.67007094044203,2.39267910255968
8,8,4,4,4,3,2,3,3,2,2,1,1,3,1,1,0,0.0798442680178938,11.6733328870118,0,0,FALSE,0,0,1.81719503691756,1,0.601000874314034,2.45730699995531,2.19881746455228
503,503,2,1,2,3,2,3,2,3,2,3,2,2,3,4,0,1.49457865616733,11.3119831793057,0,0,FALSE,0,0,133.81701874386,1,0.576834847977023,2.42586262217519,2.17016665761275
590,590,3,4,1,3,2,4,4,2,1,3,3,2,3,1,0,1.64874489798593,11.1354873589033,0,0,FALSE,0,0,156.96771208552,1,0.565031316513575,2.4101370679512,2.15583818779092
91,91,4,4,4,4,4,4,4,4,3,4,3,2,3,3,0,0.0990459621646376,10.7395005917922,0,0,FALSE,0,0,23.3628802981177,1,0.538548863535093,2.37392858816644,2.12284652959558
736,736,3,3,3,3,3,4,2,4,2,3,4,4,3,2,1,0.673551096578505,9.8596963710332,0,0,FALSE,0,0,195.862491009931,1,0.47971009456183,2.28845537412754,2.04496689810618
714,714,3,3,4,5,4,2,4,4,4,5,1,3,2,3,0,-0.905666354324053,8.80483307158172,0,0,FALSE,0,0,189.923408506959,1,0.409163879267186,2.17530078340182,1.94186514949236
464,464,3,5,4,4,3,3,4,4,4,2,2,3,2,3,0,-2.18711889494888,8.35859343879609,0,0,FALSE,0,0,123.128562312499,1,0.379320659559128,2.12329016399333,1.8944752400498
199,199,4,3,3,4,3,1,4,3,2,3,3,3,3,4,0,-0.831920990717663,8.3582097315196,0,0,FALSE,0,0,52.3890769589939,1,0.379294998323069,2.12324425721646,1.89443341170737
731,731,3,2,3,4,4,2,3,4,3,3,3,4,2,4,0,0.348812771781118,8.33107903889877,0,0,FALSE,0,0,194.546994237981,1,0.37748057584414,2.11999298427207,1.89147098726098
645,645,4,3,4,3,4,2,3,3,4,2,2,3,3,5,0,-1.46957272951019,8.21459397297537,0,0,FALSE,0,0,171.562710797725,1,0.369690390572251,2.10591232518869,1.87864127735862
589,589,3,4,4,2,4,3,3,4,3,4,2,4,4,4,1,0.738695930542837,7.7950956191815,0,0,FALSE,0,0,156.514034058109,1,0.341635550482659,2.05349476916722,1.83088058422884
284,284,3,3,4,3,3,3,3,2,3,3,2,2,1,4,0,-0.55309032724957,7.74664644165515,0,0,FALSE,0,0,75.1861060931509,1,0.338395409214687,2.04726003251036,1.82519975195022
411,411,4,4,3,3,4,4,3,3,3,2,2,3,1,1,1,-0.965259748702329,7.67114201786832,0,0,FALSE,0,0,109.046113846643,1,0.333345891102782,2.03746549841135,1.81627538055717
